Titolo;Ticker;Mercato;Settore;Classe;Valuta;Prezzo;Capitalizzazione mln;EPS TTM;EPS 2026E;P/E;P/B;ROE implicito;ROE 1 anno;ROE 5 anni;Variabilita ROE;Esercizi ROE;Dividendo;Rendimento;Debito su mezzi propri;Crescita ricavi;Margine netto;Giudizio;Motivo;Rilevazione;Fonte;Note
3M;MMM;USA;Conglomerata industriale;IND;USD;177,23;91401,5;5,62;9,69641;31,535587;28,329603;0,898338;0,81892;0,178646;0,974849;4;3,12;0,017604;437,937;0,025;0,12013;SCARTA;P/E troppo alto (31.5);2026-08-04;yahoo;
A2A;A2A.MI;Italia;Utility;UTI;EUR;2,332;7295,5;0,22;0,21079;10,6;1,409915;0,133011;0,11337;0,135288;0,022164;4;0,1;0,042882;113,764;0,373;0,050004;SCARTA;ROE al 11.3%, sotto la soglia;2026-08-04;yahoo;
AbbVie;ABBV;USA;Farmaceutica;SAL;USD;245,1;433120,5;3,54;16,334;69,237288;-65,06504;-0,93974;1,286617;0,814001;0,345689;3;6,92;0,028233;;0,102;0,102518;SCARTA;P/E troppo alto (69.2);2026-08-04;yahoo;
Abbott Laboratories;ABT;USA;Dispositivi medicali;SAL;USD;107,12;186583;3,09;6,06253;34,666667;3,626638;0,104615;0,10576;0,18589;0,059572;4;2,52;0,023525;63,212;0,13;0,121842;SCARTA;ROE al 10.6%, sotto la soglia;2026-08-04;yahoo;
Accenture;ACN;USA;Consulenza IT;TEC;USD;165,76;101435,5;12,53;14,68338;13,22905;3,180292;0,240402;0,24406;0,270374;0,02469;4;6,52;0,039334;25,035;0,056;0,111804;PASSA FORTE;ROE 24.4% / 27.0% con P/E 13.2;2026-08-04;yahoo;
Acea;ACE.MI;Italia;Utility;UTI;EUR;21,4;4548,5;2,93;1,58913;7,303754;1,63571;0,223955;0,20725;0,137727;0,020636;4;0,95;0,044393;169,549;;0,226154;SCARTA;ROE al 13.8%, sotto la soglia;2026-08-04;yahoo;
Adobe;ADBE;USA;Software;TEC;USD;251,34;99907,6;17,48;27,48687;14,378719;8,706827;0,605536;0,62954;0,418679;0,11519;4;;;61,443;0,127;0,304136;PASSA FORTE;ROE 63.0% / 41.9% con P/E 14.4;2026-08-04;yahoo;
Advanced Micro Devices;AMD;USA;Semiconduttori;TEC;USD;484,64;790254,3;3;13,91754;161,546667;12,254786;0,075859;0,08063;0,034176;0,020556;4;;;6,005;0,378;0,142383;SCARTA;ROE al 3.4%, sotto la soglia;2026-08-04;yahoo;
Air Products;APD;USA;Gas industriali;MAT;USD;292,94;65233,5;-0,21;14,44291;;4,339787;;0,00023;0,132701;0,094912;4;7,24;0,024715;110,091;0,046;-0,003929;DA COMPLETARE;manca il P/E (EPS assente o negativo);2026-08-04;yahoo;
Airbnb;ABNB;USA;Viaggi / Piattaforme;CON;USD;150,64;89405,6;4,05;5,99539;37,195062;11,737573;0,315568;0,32325;0,387102;0,116036;4;;;33,185;0,179;0,20562;SCARTA;P/E troppo alto (37.2);2026-08-04;yahoo;
Alphabet;GOOGL;USA;Internet / Cloud;TEC;USD;373,51;4568003,4;19,94;14,73443;18,731695;7,338691;0,391779;0,48676;0,2802;0,034406;4;0,88;0,002356;18,859;0,242;0,606001;PASSA;ROE solido, P/E 18.7 nella fascia accettabile;2026-08-04;yahoo;
Altria Group;MO;USA;Tabacco;CON;USD;68,26;113976,7;4,75;5,86711;14,370526;-35,515087;-2,471384;;;;0;4,24;0,062115;;0,012;0,394856;DA COMPLETARE;manca il ROE;2026-08-04;yahoo;
Amazon;AMZN;USA;E-commerce / Cloud;TEC;USD;284,02;3063528,6;12,44;10,31743;22,83119;5,552037;0,243178;0,30558;0,132051;0,089355;4;;;45,617;0,196;0,188696;SCARTA;ROE al 13.2%, sotto la soglia;2026-08-04;yahoo;
American Electric Power;AEP;USA;Utility;UTI;USD;128,32;69857,1;5,77;6,85472;22,239168;2,177536;0,097914;0,10131;0,102277;0,010896;4;3,8;0,029613;160,789;0,07;0,143582;SCARTA;ROE al 10.1%, sotto la soglia;2026-08-04;yahoo;
American Express;AXP;USA;Pagamenti / Credito;FIN;USD;344,72;232792,8;16,48;20,11417;20,917476;6,787831;0,324505;0,34377;0,315213;0,014617;4;3,8;0,011023;172,38;0,128;0,156597;SCARTA;P/E troppo alto (20.9);2026-08-04;yahoo;
American International Group;AIG;USA;Assicurazione;FIN;USD;78,79;41774,9;5,68;8,83737;13,871479;1,039172;0,074914;0,07723;0,093047;0,101102;4;2;0,025384;22,647;0,014;0,118062;SCARTA;ROE al 7.7%, sotto la soglia;2026-08-04;yahoo;
American Tower;AMT;USA;REIT / Torri;IMM;USD;173;80611,1;6,21;7,00103;27,858293;21,671051;0,777903;0,33914;0,507367;0,172988;4;6,98;0,040347;438,721;0,047;0,319505;SCARTA;P/E troppo alto (27.9);2026-08-04;yahoo;
Amgen;AMGN;USA;Biotecnologie;SAL;USD;378,87;204479,3;14,37;23,43866;26,365344;22,249825;0,843904;1,01318;1,113513;0,413074;4;10,08;0,026605;623,754;0,058;0,212239;SCARTA;P/E troppo alto (26.4);2026-08-04;yahoo;
Amplifon;AMP.MI;Italia;Dispositivi medicali;SAL;EUR;11,865;3147,2;0,31;0,87396;38,274194;2,424397;0,063343;0,091497;0,132683;0,028904;4;0,29;0,024442;166,757;0,022;0,030193;SCARTA;ROE al 9.1%, sotto la soglia;2026-08-04;yahoo;
Analog Devices;ADI;USA;Semiconduttori;TEC;USD;361,88;176267,1;6,72;15,06237;53,85119;5,223969;0,097007;0,09639;0,070527;0,016789;4;4,4;0,012159;25,81;0,372;0,300682;SCARTA;ROE al 7.1%, sotto la soglia;2026-08-04;yahoo;
Apple;AAPL;USA;Hardware / Consumer tech;TEC;USD;303,42;4428166,3;8,71;9,51307;34,835821;41,225544;1,183424;1,48751;1,673853;0,176754;4;1,08;0,003559;78,445;0,164;0,309808;SCARTA;P/E troppo alto (34.8);2026-08-04;yahoo;
Applied Materials;AMAT;USA;Apparecchiature semicond.;TEC;USD;518,21;411437,7;10,61;17,00044;48,841659;17,208275;0,352328;0,39692;0,418739;0,072442;4;2,12;0,004091;30,399;0,114;0,299915;SCARTA;P/E troppo alto (48.8);2026-08-04;yahoo;
Arista Networks;ANET;USA;Reti;TEC;USD;184,89;232807,8;2,9;4,46749;63,755172;17,261692;0,27075;0,31521;0,28379;0,004466;4;;;;0,351;0,413127;SCARTA;P/E troppo alto (63.8);2026-08-04;yahoo;
Assicurazioni Generali;G.MI;Italia;Assicurazione;FIN;EUR;44,46;66511,2;2,69;3,44254;16,527881;2,084975;0,126149;0,13688;0,116467;0,019052;4;1,64;0,036887;113,746;;0,05598;SCARTA;ROE al 11.6%, sotto la soglia;2026-08-04;yahoo;
Azimut Holding;AZM.MI;Italia;Risparmio gestito;FIN;EUR;37,55;5325,3;3,72;3,64518;10,094086;2,68042;0,265544;0,29348;0,280965;0,015353;4;2;0,053262;4,261;0,17;0,374914;PASSA FORTE;ROE 29.3% / 28.1% con P/E 10.1;2026-08-04;yahoo;
BB Biotech;BION.SW;Italia;Veicolo biotech;VEI;CHF;50,7;2796,1;24,57;-0,65777;2,063492;0,906588;0,439346;0,54764;0,004778;0,13224;4;2,25;0,044379;;;2,298261;SCARTA;ROE al 0.5%, sotto la soglia;2026-08-04;yahoo;Quotata Zurigo/Xetra, NAV-driven: ROE poco significativo
BPER Banca;BPE.MI;Italia;Banca;FIN;EUR;14,864;30974;1,05;1,27856;14,15619;1,714418;0,121107;0,13133;0,144509;0,029166;4;1,26;0,084769;;0,241;0,271599;SCARTA;ROE al 13.1%, sotto la soglia;2026-08-04;yahoo;
Banca Generali;BGN.MI;Italia;Risparmio gestito;FIN;EUR;66,6;7586,4;4,61;3,87342;14,446855;4,797579;0,332085;0,36487;0,261884;0,037247;4;2,9;0,043544;;0,434;0,447971;PASSA FORTE;ROE 36.5% / 26.2% con P/E 14.4;2026-08-04;yahoo;
Banca Ifis;IF.MI;Italia;Banca;FIN;EUR;14,92;911,3;5,33;2,06056;2,79925;0,429909;0,15358;0,15787;0,108084;0,02703;4;2,12;0,142091;;0,204;0,435024;SCARTA;ROE al 10.8%, sotto la soglia;2026-08-04;yahoo;
Banca Mediolanum;BMED.MI;Italia;Banca;FIN;EUR;23,71;17529,2;1,56;1,55913;15,198718;3,899671;0,256579;0,275436;0,240844;0,042851;4;1,3;0,054829;;0,111;0,539282;PASSA;ROE solido, P/E 15.2 nella fascia accettabile;2026-08-04;yahoo;
Banca Monte dei Paschi;BMPS.MI;Italia;Banca;FIN;EUR;11,706;35567,7;1,38;0,89069;8,482609;1,251176;0,147499;0,13343;0,111879;0,086897;4;0,86;0,073467;;0,959;0,564529;SCARTA;ROE al 11.2%, sotto la soglia;2026-08-04;yahoo;
Banca Profilo;PRO.MI;Italia;Banca;FIN;EUR;1,6538;109,3;0,12;0,16;13,781667;0,65941;0,047847;0,04945;0,065031;0,006357;4;0,07;0,042327;;-0,366;0,120393;SCARTA;ROE al 4.9%, sotto la soglia;2026-08-04;yahoo;
Banco BPM;BAMI.MI;Italia;Banca;FIN;EUR;16,28;24502,5;1,38;1,36754;11,797101;1,595296;0,135228;0,13722;0,102121;0,03351;4;1;0,061425;;0,029;0,308913;SCARTA;ROE al 10.2%, sotto la soglia;2026-08-04;yahoo;
Banco Desio e Brianza;BDB.MI;Italia;Banca;FIN;EUR;18,74;2463,8;1,02;;18,372549;1,652995;0,089971;0,09042;0,105773;0,041817;4;0,51;0,027215;;0,099;0,206149;SCARTA;ROE al 9.0%, sotto la soglia;2026-08-04;yahoo;
Bank of America;BAC;USA;Banca;FIN;USD;62,48;436906,9;4,33;5,2883;14,429561;1,588125;0,11006;0,11199;0,095831;0,004887;4;1,28;0,020487;;0,168;0,284048;SCARTA;ROE al 9.6%, sotto la soglia;2026-08-04;yahoo;
Berkshire Hathaway B;BRK-B;USA;Conglomerata / Holding;FIN;USD;513,14;1106767,9;33,61;21,57153;15,26748;0,001015;0,000066;0,10499;0,08844;0,083533;4;;;17,669;0,044;0,176534;SCARTA;ROE al 8.8%, sotto la soglia;2026-08-04;yahoo;
Biogen;BIIB;USA;Biotecnologie / CNS;SAL;USD;201,82;29819,7;5,62;16,5904;35,911032;1,581538;0,04404;0,04575;0,118583;0,06359;4;;;44,329;0,034;0,084383;SCARTA;ROE al 4.6%, sotto la soglia;2026-08-04;yahoo;
BlackRock;BLK;USA;Risparmio gestito;FIN;USD;1126,63;183192,6;41,76;64,11224;26,978688;3,087757;0,114452;0,099359;0,127619;0,016442;4;22,92;0,020344;23,635;0,306;0,271556;SCARTA;ROE al 9.9%, sotto la soglia;2026-08-04;yahoo;
